name,price,strong
          ACE Cool Mint X        ,"                    €4,49",Extra Stark
          Apres Hyper Strong Peach        ,"                    €3,39",Extra Stark
          Pablo Ice Cold Mini        ,"                    €3,99",Ultra Stark
          Cuba White Cherry        ,"                    €4,50",Extra Stark
          VILD Storm Triple Mint        ,"                    €4,49",Extra Stark
          VILD Bris Mint        ,"                    €4,49",Mittelstark
          Nois Ice Cool        ,"                    €3,99",Ultra Stark
          Pablo Ice Cold        ,"                    €3,99",Ultra Stark
          Grant Extreme Edition        ,"                    €4,55",Ultra Stark
          Cuba Black Cherry        ,"                    €4,50",Ultra Stark
          Pablo Exklusive Grape Ice        ,"                    €3,99",Ultra Stark
          Nois Extreme Blueberry        ,"                    €3,99",Ultra Stark
          Pablo Exclusive Kiwi        ,"                    €3,99",Ultra Stark
          Garant Ice Cool        ,"                    €4,55",Ultra Stark
          Pablo Exclusive Mango Ice        ,"                    €3,99",Ultra Stark
          Cuba Black Blueberry        ,"                    €4,50",Ultra Stark
          Klint Avalanche Mint        ,"                    €3,99",Ultra Stark
          Klint Arctic Mint X-Strong        ,"                    €3,99",Extra Stark
          Nois Extreme Cool        ,"                    €3,99",Ultra Stark
          Pablo Exklusive Strawberry-Lychee        ,"                    €3,99",Ultra Stark
          Velo Freezing Peppermint Max Slim        ,"                    €5,45",Ultra Stark
          Velo Mighty Peppermint Max Large        ,"                    €5,45",Extra Stark
          Grant Extreme Ice Peach        ,"                    €4,55",Ultra Stark
          Pablo Exclusive Passion Fruit        ,"                    €3,99",Ultra Stark
          White Fox White Slim        ,"                    €4,69",Extra Stark
          Cuba White Cherry        ,"                    €4,50",Extra Stark
          Pablo Exklusive Frosted Ice        ,"                    €3,99",Ultra Stark
          Pablo Ice Cold Mini        ,"                    €3,99",Ultra Stark
          Killa Cola Slim        ,"                    €3,69",Extra Stark
          Cuba Black Peach        ,"                    €4,50",Ultra Stark
          Pablo Exclusive Blue Raspberry        ,"                    €3,99",Ultra Stark
          Fedrs #Hard Evilberry        ,"                    €5,15",Ultra Stark
          Kurwa Fatality Blueberry        ,"                    €4,89",Ultra Stark
          Pablo Exclusive Pear        ,"                    €3,99",Ultra Stark
          Cuba White Peach        ,"                    €4,50",Extra Stark
          Nois Extreme Mango        ,"                    €3,99",Ultra Stark
          Baron Fruit Cocktail        ,"                    €4,50",Ultra Stark
          Grant Extreme Ice Blueberry        ,"                    €4,55",Ultra Stark
          Cuba Black Forest Berries        ,"                    €4,50",Ultra Stark
          Pablo Exklusive Bubblegum        ,"                    €3,99",Ultra Stark
          Klint Freeze Mint        ,"                    €3,99",Extra Stark
          Pablo Exklusive Frosted Mint        ,"                    €3,99",Ultra Stark
          Zeus Tropic Burst        ,"                    €4,30",Ultra Stark
          Velo Freezing Peppermint        ,"                    €5,45",Extra Stark
          Iceberg Sour Berries        ,"                    €4,49",Ultra Stark
          Kurwa Collection Berries-Forest Berries        ,"                    €3,95",Stärker
          Cuba White Blueberry        ,"                    €4,50",Extra Stark
          Killa Apple        ,"                    €3,32",Extra Stark
          Pablo Exclusive Tropical Punch        ,"                    €3,99",Ultra Stark
          Nois Extreme Cherry        ,"                    €3,99",Ultra Stark
          Klint Polar Mint        ,"                    €3,99",Stärker
          Cuba Black Double Fresh        ,"                    €4,50",Ultra Stark
          Killa Blueberry        ,"                    €3,32",Extra Stark
          Garant Extreme Cherry        ,"                    €4,55",Ultra Stark
          Zeus Frozen Citrus        ,"                    €4,30",Ultra Stark
          Cuba Black Watermelon        ,"                    €4,50",Ultra Stark
          Apres N°5 Ice Tea Peach        ,"                    €3,59",Extra Stark
          Cuba Black Pineapple        ,"                    €4,50",Ultra Stark
          Baron Menthol        ,"                    €4,50",Ultra Stark
          Pablo X Ice Cold        ,"                    €3,99",Ultra Stark
          Pablo Exclusive Lemonade        ,"                    €3,99",Ultra Stark
          Pablo Exclusive Dark Cherry        ,"                    €3,99",Ultra Stark
          Kurwa Collection Cola-Vanilla-Cherry        ,"                    €3,95",Extra Stark
          Kurwa Collection Blackcurrant-Purple Grape        ,"                    €3,95",Stärker
          Cuba White Forest Berries        ,"                    €4,50",Extra Stark
          Grant Wildberry        ,"                    €4,45",Extra Stark
          Nois Cool Strong 50        ,"                    €3,99",Ultra Stark
          Iceberg Watermelon Mint        ,"                    €4,49",Ultra Stark
          Kurwa Fatality Cactus Apple        ,"                    €4,89",Ultra Stark
          Klint Apple Mint X-Strong        ,"                    €3,99",Extra Stark
          Cuba Black Cola        ,"                    €4,50",Ultra Stark
          Garant Extreme Raspberry        ,"                    €4,55",Ultra Stark
          Nois Ice Cool        ,"                    €3,99",Ultra Stark
          Pablo Exclusive Strawberry Watermelon        ,"                    €3,99",Ultra Stark
          Killa Watermelon        ,"                    €3,69",Extra Stark
          Nois Extreme Grape        ,"                    €3,99",Ultra Stark
          Pablo Exclusive Orange        ,"                    €3,99",Ultra Stark
          Pablo Red        ,"                    €3,99",Ultra Stark
          Pablo Exclusive Banana Ice        ,"                    €3,99",Ultra Stark
          Cuba Coca Leaf        ,"                    €4,50",Ultra Stark
          Pablo Exclusive Cherry Cola        ,"                    €3,99",Ultra Stark
          Fix Strawberry Kiwi        ,"                    €3,46",Stärker
          Glitch Frozen Cherry Cola        ,"                    €3,89",Extra Stark
          Iceberg Kiwi Strawberry        ,"                    €4,49",Ultra Stark
          Iceberg Emerald        ,"                    €4,49",Ultra Stark
          Iceberg Strawberry Mango        ,"                    €4,49",Ultra Stark
          Iceberg Melon Peach        ,"                    €4,49",Ultra Stark
          Iceberg Black        ,"                    €4,49",Ultra Stark
          Korn Hard 50        ,"                    €3,95",Ultra Stark
          Cuba Black Black Currant        ,"                    €4,50",Ultra Stark
          Iceberg Arasaka        ,"                    €4,49",Ultra Stark
          Kurwa-Killer Kiwi Strawberry        ,"                    €4,89",Ultra Stark
          Killa Grape Ice        ,"                    €3,69",Extra Stark
          Iceberg Cherry        ,"                    €4,49",Ultra Stark
          Zeus Arctic Freeze        ,"                    €4,30",Ultra Stark
          Killa Cold Mint        ,"                    €3,69",Extra Stark
          Glitch Blueberry Ice        ,"                    €3,89",Extra Stark
          Klint Passionfruit        ,"                    €3,99",Mittelstark
          V&YOU Boost+ Cool Berry        ,"                    €3,89",Ultra Stark
          Garant Extreme Ice Cool        ,"                    €4,55",Ultra Stark
          Fedrs #Hard Raspberry        ,"                    €5,15",Ultra Stark
          Iceberg Grape        ,"                    €4,49",Ultra Stark
          Iceberg Wildberries        ,"                    €4,49",Ultra Stark
          Cuba Ninja Bubblegum        ,"                    €4,50",Ultra Stark
          Kurwa Fatality Strawberry        ,"                    €4,89",Ultra Stark
          Zeus Mint Rage        ,"                    €4,30",Ultra Stark
          ACE Cool Mint X        ,"                    €4,49",Extra Stark
          Apres Hyper Strong Peach        ,"                    €3,39",Extra Stark
          Pablo Ice Cold Mini        ,"                    €3,99",Ultra Stark
          Cuba White Cherry        ,"                    €4,50",Extra Stark
          VILD Storm Triple Mint        ,"                    €4,49",Extra Stark
          VILD Bris Mint        ,"                    €4,49",Mittelstark
          Nois Ice Cool        ,"                    €3,99",Ultra Stark
          Cuba White Double Fresh        ,"                    €4,50",Extra Stark
          Grant Extreme Mango Lime        ,"                    €4,55",Ultra Stark
          V&YOU Boost+ Fresh Citrus        ,"                    €3,89",Ultra Stark
          Velo Icy Berries        ,"                    €5,45",Stärker
          Velo Breezy Mango        ,"                    €5,45",Extra Stark
          Velo Icy Cherry        ,"                    €5,45",Stärker
          Velo Peppermint Storm        ,"                    €5,45",Extra Stark
          Klint Mint Nr. 1        ,"                    €3,99",Leicht
          Kurwa Fatality Tropical Cocktail        ,"                    €4,89",Ultra Stark
          Kurwa Collection Cocopilada-Mango        ,"                    €3,95",Stärker
          White Fox Double Mint        ,"                    €4,69",Extra Stark
          Cuba Ninja Energy        ,"                    €4,50",Ultra Stark
          Zeus Cherry Blossom        ,"                    €4,30",Ultra Stark
          Klint Arctic Mint Max        ,"                    €4,25",Extra Stark
          Candys Watermelon        ,"                    €4,89",Ultra Stark
          Nois Mini Extreme Blueberry        ,"                    €3,99",Ultra Stark
          Fix Blueberry Ice        ,"                    €3,85",Extra Stark
          Iceberg Guave Lime        ,"                    €4,49",Ultra Stark
          Fedrs #Hard Cola Vanilla        ,"                    €5,15",Ultra Stark
          Apres N°10 Apres Spritz        ,"                    €3,99",Mittelstark
          Zeus Epic Berry        ,"                    €4,30",Ultra Stark
          Fix Cherry Blossom        ,"                    €3,85",Extra Stark
          Kurwa-Killer Blueberry-Marmelade        ,"                    €4,89",Ultra Stark
          Garant Extreme Grape        ,"                    €4,55",Ultra Stark
          Killa Strawberry-Lychee        ,"                    €3,69",Extra Stark
          Nois Cherry Ice        ,"                    €3,99",Ultra Stark
          Fedrs #Hard Mint        ,"                    €5,15",Ultra Stark
          Camo Spicy Citrus        ,"                    €3,15",Ultra Stark
          Cuba White Cola        ,"                    €4,05",Extra Stark
          Candys Gummy Bears        ,"                    €4,89",Ultra Stark
          Camo Wild Mint        ,"                    €3,60",Ultra Stark
          Camo Green Apple        ,"                    €3,60",Ultra Stark
          Glitch Cool Ice        ,"                    €3,89",Extra Stark
          Nor No.1 Falketind         ,"                    €3,50",Extra Stark
          Iceberg Watermelon        ,"                    €4,49",Extra Stark
          ACE Cool Mint X        ,"                    €4,49",Extra Stark
          Iceberg Dragon Fire        ,"                    €4,49",Ultra Stark
          Candys Ice Cherry Gum        ,"                    €4,89",Ultra Stark
          Cuba Black Grape        ,"                    €4,50",Ultra Stark
          Velo Crispy Peppermint        ,"                    €5,45",Stärker
          Camo Orange Bubblegum        ,"                    €3,60",Ultra Stark
          Gritt Maracuja        ,"                    €4,49",Extra Stark
          Nois Extreme Watermelon        ,"                    €3,99",Ultra Stark
          Klint Fresh Lime        ,"                    €3,99",Mittelstark
          Noto Pine #3        ,"                    €3,74",Stärker
          Nois Black Currant        ,"                    €3,99",Extra Stark
          Velo Orange Spark        ,"                    €5,45",Stärker
          Noto Green Tea #2        ,"                    €3,74",Mittelstark
          Cuba Black Apple Juice        ,"                    €4,50",Ultra Stark
          Fedrs #Hard Energy        ,"                    €5,15",Ultra Stark
          Iceberg Cola        ,"                    €4,49",Ultra Stark
          Iceberg Strawberry Pomegranate        ,"                    €4,49",Ultra Stark
          Iceberg Watermelon Lime        ,"                    €4,49",Ultra Stark
          Kurwa-Killer Bubblegum        ,"                    €4,89",Ultra Stark
          Garant Extreme Citrus        ,"                    €4,55",Ultra Stark
          Cuba Black Banana Hit        ,"                    €4,50",Ultra Stark
          Cuba White Watermelon        ,"                    €4,50",Extra Stark
          Velo Groovy Grape Mini        ,"                    €5,45",Mittelstark
          Fix Watermelon Ice        ,"                    €3,46",Extra Stark
          Klint Breeze Mint        ,"                    €3,99",Mittelstark
          Noto Pimenton #4        ,"                    €3,74",Extra Stark
          Killa Blue Raspberry        ,"                    €3,69",Extra Stark
          Fedrs #Hard Mango        ,"                    €5,15",Ultra Stark
          Kurwa Fatality Pink Rose Lemonade        ,"                    €4,89",Ultra Stark
          Kurwa Fatality Fruity Gum        ,"                    €4,89",Ultra Stark
          Iceberg Cherry Apricot        ,"                    €4,49",Ultra Stark
          Velo Icy Berry Mini        ,"                    €5,45",Mittelstark
          Killa Pineapple        ,"                    €3,69",Extra Stark
          Cuba White Pineapple        ,"                    €4,50",Extra Stark
          Pablo X-Ice Cold Mini        ,"                    €3,59",Ultra Stark
          Killa Mango Ice        ,"                    €3,69",Extra Stark
          Grant Melon        ,"                    €4,45",Ultra Stark
          V&YOU Boost+ Blueberry Ice        ,"                    €3,89",Ultra Stark
          Klint Cola Lime        ,"                    €3,99",Extra Stark
          Kurwa Collection Kiwi Apple        ,"                    €3,95",Stärker
          Iceberg Crazy Mix        ,"                    €4,49",Ultra Stark
          Klint Blåklint Mini        ,"                    €3,99",Stärker
          Apres N°7 Very Berry        ,"                    €3,59",Mittelstark
          Cuba Ninja Strawberry        ,"                    €4,50",Ultra Stark
          Iceberg Ninja Orange        ,"                    €4,49",Ultra Stark
          Zeus Bubblegum        ,"                    €4,30",Ultra Stark
          Edel Berry Ice        ,"                    €4,39",Extra Stark
          V&YOU Boost Berry        ,"                    €3,89",Extra Stark
          Grant Peach        ,"                    €4,45",Extra Stark
          Nois Grape Ice        ,"                    €3,99",Ultra Stark
          Baron Eucalyptus        ,"                    €4,50",Ultra Stark
          Edel Onyx        ,"                    €4,39",Ultra Stark
          Candys Strawberry-Vanilla-Candy        ,"                    €4,89",Ultra Stark
          White Fox Peppered Mint        ,"                    €4,69",Extra Stark
          Nois Mango Mint        ,"                    €3,99",Stärker
          Klint Honeymelon        ,"                    €3,99",Mittelstark
          Noto Bergamia #3        ,"                    €3,74",Stärker
          Klint Blåklint X-Strong        ,"                    €3,99",Extra Stark
          Kurwa Fatality Cherry Cranberry Shake        ,"                    €4,89",Ultra Stark
          Klint Spicy Ginger X-Strong        ,"                    €3,99",Extra Stark
          Kurwa Fatality Apple Energy Drink        ,"                    €4,89",Ultra Stark
          Kurwa Fatality Grape Mint Waves        ,"                    €4,89",Ultra Stark
          Nois Mint        ,"                    €3,99",Extra Stark
          Baron Wintergreen        ,"                    €4,50",Ultra Stark
          ACE Berry Breeze Low        ,"                    €4,49",Mittelstark
          ACE Cool Mint X        ,"                    €4,49",Extra Stark
          Apres Hyper Strong Peach        ,"                    €3,39",Extra Stark
